1,г.,Адыгейск;;;;;;;;;;;;;;;;;;;;;;;;;;
1,г.,Майкоп;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Агидель;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Баймак;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Белебей;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Белорецк;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Бирск;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Благовещенск;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Давлеканово;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Дюртюли;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Ишимбай;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Кумертау;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Межгорье;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Мелеуз;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Нефтекамск;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Октябрьский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Салават;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Стерлитамак;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Туймазы;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Уфа;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Учалы;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Янаул;;;;;;;;;;;;;;;;;;;;;;;;;;
2,г.,Сибай;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Акбердинский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Алкинский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Аровский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Аскаровский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Ахуновский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Баш-Шидинский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Булгаковский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Вострецовский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Дмитриевский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Зубовский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Иглинский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Искинский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Казадаевский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Кандринский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Кирилловский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Кисак-Каинский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Кожай-Семеновский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Красноярский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Кушнаренковский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Майский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Маячинский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Месягутовский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Нагаевский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Николаевский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Никольский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Новобелокатайский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Подгорный;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Равиловский;;;;;;;;;;;;;;;;;;;;;;;;;;
2,с/с,Разинский;;;;;;;;;;;;;;;;;;;;;;;;;;
